,US_County_FIPS,_class,n_species,n_red
638,01105,ACTINOPTERYGII,127,12
639,01105,AMPHIBIA,39,0
640,01105,AVES,111,2
641,01105,BIVALVIA,21,2
642,01105,CEPHALASPIDOMORPHI,3,0
643,01105,GASTROPODA,18,2
644,01105,INSECTA,4,1
645,01105,LILIOPSIDA,4,0
646,01105,MAGNOLIOPSIDA,3,0
647,01105,MALACOSTRACA,44,4
648,01105,MAMMALIA,5,0
649,01105,REPTILIA,12,0
650,01107,ACTINOPTERYGII,108,6
651,01107,AMPHIBIA,42,0
652,01107,AVES,110,2
653,01107,BIVALVIA,22,3
654,01107,CEPHALASPIDOMORPHI,2,0
655,01107,GASTROPODA,12,0
656,01107,INSECTA,3,1
657,01107,LILIOPSIDA,4,0
658,01107,MAGNOLIOPSIDA,3,0
659,01107,MALACOSTRACA,31,1
660,01107,MAMMALIA,5,0
661,01107,REPTILIA,11,0
662,01109,ACTINOPTERYGII,129,6
663,01109,AMPHIBIA,42,1
664,01109,AVES,111,2
665,01109,BIVALVIA,24,3
666,01109,CEPHALASPIDOMORPHI,3,0
667,01109,GASTROPODA,19,0
668,01109,INSECTA,3,1
669,01109,LILIOPSIDA,4,0
670,01109,MAGNOLIOPSIDA,3,0
671,01109,MALACOSTRACA,39,1
672,01109,MAMMALIA,5,0
673,01109,REPTILIA,11,0
674,01111,ACTINOPTERYGII,105,3
675,01111,AMPHIBIA,34,0
676,01111,AVES,110,3
677,01111,BIVALVIA,21,1
678,01111,CEPHALASPIDOMORPHI,3,0
679,01111,GASTROPODA,12,0
680,01111,INSECTA,2,1
681,01111,LILIOPSIDA,4,0
682,01111,MAGNOLIOPSIDA,2,0
683,01111,MALACOSTRACA,32,1
684,01111,MAMMALIA,5,0
685,01111,REPTILIA,7,0
686,01113,ACTINOPTERYGII,139,5
687,01113,AMPHIBIA,44,1
688,01113,AVES,107,2
689,01113,BIVALVIA,25,2
690,01113,CEPHALASPIDOMORPHI,3,0
691,01113,GASTROPODA,13,0
692,01113,INSECTA,3,1
693,01113,LILIOPSIDA,4,0
694,01113,MAGNOLIOPSIDA,3,0
695,01113,MALACOSTRACA,33,1
696,01113,MAMMALIA,5,0
697,01113,REPTILIA,12,0
698,01115,ACTINOPTERYGII,133,20
699,01115,AMPHIBIA,40,2
700,01115,AVES,109,2
701,01115,BIVALVIA,30,4
702,01115,CEPHALASPIDOMORPHI,3,0
703,01115,GASTROPODA,21,2
704,01115,INSECTA,2,1
705,01115,LILIOPSIDA,4,0
706,01115,MAGNOLIOPSIDA,2,0
707,01115,MALACOSTRACA,37,3
708,01115,MAMMALIA,5,0
709,01115,REPTILIA,7,0
710,01117,ACTINOPTERYGII,126,16
711,01117,AMPHIBIA,44,1
712,01117,AVES,109,2
713,01117,BIVALVIA,31,3
714,01117,CEPHALASPIDOMORPHI,3,0
715,01117,GASTROPODA,25,4
716,01117,INSECTA,3,1
717,01117,LILIOPSIDA,4,0
718,01117,MAGNOLIOPSIDA,2,0
719,01117,MALACOSTRACA,34,3
720,01117,MAMMALIA,5,0
721,01117,REPTILIA,9,0
722,01119,ACTINOPTERYGII,113,8
723,01119,AMPHIBIA,41,0
724,01119,AVES,112,2
725,01119,BIVALVIA,21,3
726,01119,CEPHALASPIDOMORPHI,3,0
727,01119,GASTROPODA,18,1
728,01119,INSECTA,3,1
729,01119,LILIOPSIDA,4,0
730,01119,MAGNOLIOPSIDA,3,0
731,01119,MALACOSTRACA,43,2
732,01119,MAMMALIA,5,0
733,01119,REPTILIA,11,0
734,01121,ACTINOPTERYGII,101,11
735,01121,AMPHIBIA,39,1
736,01121,AVES,109,2
737,01121,BIVALVIA,26,1
